CASE_10361 | NEW | HIGH | artifacts=2
CASE_10316 | NEW | HIGH | artifacts=2
CASE_10306 | NEW | HIGH | artifacts=4
CASE_10984 | NEW | HIGH | artifacts=2
CASE_10624 | NEW | HIGH | artifacts=2
CASE_10841 | NEW | HIGH | artifacts=1
CASE_1019 | NEW | HIGH | artifacts=2
CASE_106 | NEW | HIGH | artifacts=2
CASE_10412 | NEW | HIGH | artifacts=3
CASE_10198 | NEW | HIGH | artifacts=4
CASE_10971 | NEW | HIGH | artifacts=2
CASE_10111 | NEW | HIGH | artifacts=3
CASE_10543 | NEW | HIGH | artifacts=3
CASE_10457 | NEW | HIGH | artifacts=2
CASE_10586 | NEW | HIGH | artifacts=3
CASE_10686 | NEW | HIGH | artifacts=3
CASE_10846 | NEW | HIGH | artifacts=1
CASE_10335 | NEW | HIGH | artifacts=2
CASE_10886 | NEW | HIGH | artifacts=1
CASE_10284 | NEW | HIGH | artifacts=2
CASE_10526 | NEW | HIGH | artifacts=2
CASE_10153 | NEW | HIGH | artifacts=1
CASE_10569 | NEW | HIGH | artifacts=1
CASE_1073 | NEW | HIGH | artifacts=2
CASE_10536 | NEW | HIGH | artifacts=2
CASE_10232 | NEW | HIGH | artifacts=1
CASE_10629 | NEW | HIGH | artifacts=1
CASE_1031 | NEW | HIGH | artifacts=3
CASE_10460 | NEW | HIGH | artifacts=6
CASE_10736 | NEW | HIGH | artifacts=2
CASE_10130 | NEW | HIGH | artifacts=4
CASE_1033 | NEW | HIGH | artifacts=3
CASE_10875 | NEW | HIGH | artifacts=3
CASE_10262 | NEW | HIGH | artifacts=1
CASE_10353 | NEW | HIGH | artifacts=2
CASE_10938 | NEW | HIGH | artifacts=2
CASE_10507 | NEW | HIGH | artifacts=3
CASE_10660 | NEW | HIGH | artifacts=2
CASE_10852 | NEW | HIGH | artifacts=3
CASE_10392 | NEW | HIGH | artifacts=2
CASE_10739 | NEW | HIGH | artifacts=1
CASE_1065 | NEW | HIGH | artifacts=4
CASE_10923 | NEW | HIGH | artifacts=4
CASE_10116 | NEW | HIGH | artifacts=1
CASE_10542 | NEW | HIGH | artifacts=2
CASE_10693 | NEW | HIGH | artifacts=1
CASE_10168 | NEW | HIGH | artifacts=1
CASE_10585 | NEW | HIGH | artifacts=4
CASE_10625 | NEW | HIGH | artifacts=2
CASE_10117 | NEW | HIGH | artifacts=4
CASE_10556 | NEW | HIGH | artifacts=4
CASE_10830 | NEW | HIGH | artifacts=3
CASE_10350 | NEW | HIGH | artifacts=1
CASE_10709 | NEW | HIGH | artifacts=1
CASE_10715 | NEW | HIGH | artifacts=1
CASE_10982 | NEW | HIGH | artifacts=1
CASE_10101 | NEW | HIGH | artifacts=4
CASE_10840 | NEW | HIGH | artifacts=1
CASE_10365 | NEW | HIGH | artifacts=4
CASE_10990 | NEW | HIGH | artifacts=2
CASE_10178 | NEW | HIGH | artifacts=2
CASE_10673 | NEW | HIGH | artifacts=3
CASE_108 | NEW | HIGH | artifacts=3
CASE_1070 | NEW | HIGH | artifacts=1
CASE_10997 | NEW | HIGH | artifacts=3
CASE_10604 | NEW | HIGH | artifacts=1
CASE_10132 | NEW | HIGH | artifacts=1
CASE_10757 | NEW | HIGH | artifacts=2
CASE_1052 | NEW | HIGH | artifacts=2
CASE_10803 | NEW | HIGH | artifacts=3
CASE_10662 | NEW | HIGH | artifacts=1
CASE_10823 | NEW | HIGH | artifacts=1
CASE_10935 | NEW | HIGH | artifacts=2
CASE_10235 | NEW | HIGH | artifacts=2
CASE_10253 | NEW | HIGH | artifacts=1
CASE_10307 | NEW | HIGH | artifacts=2
CASE_10407 | NEW | HIGH | artifacts=2
CASE_10220 | NEW | HIGH | artifacts=3
CASE_1059 | NEW | HIGH | artifacts=3
CASE_10227 | NEW | HIGH | artifacts=1
CASE_10734 | NEW | HIGH | artifacts=3
CASE_10606 | NEW | HIGH | artifacts=2
CASE_10359 | NEW | HIGH | artifacts=1
CASE_10417 | NEW | HIGH | artifacts=3
CASE_10174 | NEW | HIGH | artifacts=3
CASE_10482 | NEW | HIGH | artifacts=1
CASE_10581 | NEW | HIGH | artifacts=1
CASE_10602 | NEW | HIGH | artifacts=1
CASE_10231 | NEW | HIGH | artifacts=1
CASE_1082 | NEW | HIGH | artifacts=2
CASE_10960 | NEW | HIGH | artifacts=2
CASE_10113 | NEW | HIGH | artifacts=1
CASE_1079 | NEW | HIGH | artifacts=1
CASE_10570 | NEW | HIGH | artifacts=2
CASE_1044 | NEW | HIGH | artifacts=5
CASE_10213 | NEW | HIGH | artifacts=3
CASE_10766 | NEW | HIGH | artifacts=2
CASE_10237 | NEW | HIGH | artifacts=2
CASE_1018 | NEW | HIGH | artifacts=2
CASE_10394 | NEW | HIGH | artifacts=1
CASE_10942 | NEW | HIGH | artifacts=4
CASE_10896 | NEW | HIGH | artifacts=2
CASE_10218 | NEW | HIGH | artifacts=3
CASE_1089 | NEW | HIGH | artifacts=1
CASE_10955 | NEW | HIGH | artifacts=1
CASE_1051 | NEW | HIGH | artifacts=1
CASE_10552 | NEW | HIGH | artifacts=1
CASE_10347 | NEW | HIGH | artifacts=1
CASE_10485 | NEW | HIGH | artifacts=1
CASE_10120 | NEW | HIGH | artifacts=2
CASE_10888 | NEW | HIGH | artifacts=1
CASE_10957 | NEW | HIGH | artifacts=2
CASE_10590 | NEW | HIGH | artifacts=3
CASE_10467 | NEW | HIGH | artifacts=1
CASE_10810 | NEW | HIGH | artifacts=2
CASE_10817 | NEW | HIGH | artifacts=2
CASE_10287 | NEW | HIGH | artifacts=4
CASE_10943 | NEW | HIGH | artifacts=3
CASE_10787 | NEW | HIGH | artifacts=1
CASE_10782 | NEW | HIGH | artifacts=4
CASE_10684 | NEW | HIGH | artifacts=1
CASE_10465 | NEW | HIGH | artifacts=1
CASE_10386 | NEW | HIGH | artifacts=3
CASE_10479 | NEW | HIGH | artifacts=2
CASE_10293 | NEW | HIGH | artifacts=1
CASE_10134 | NEW | HIGH | artifacts=4
CASE_10898 | NEW | HIGH | artifacts=5
CASE_10988 | NEW | HIGH | artifacts=1
CASE_10144 | NEW | HIGH | artifacts=2
CASE_10681 | NEW | HIGH | artifacts=2
CASE_10513 | NEW | HIGH | artifacts=1
CASE_10313 | NEW | HIGH | artifacts=1
CASE_10653 | NEW | HIGH | artifacts=1
CASE_10119 | NEW | HIGH | artifacts=2
CASE_10124 | NEW | HIGH | artifacts=5
CASE_10408 | NEW | HIGH | artifacts=1
CASE_1022 | NEW | HIGH | artifacts=2
CASE_10831 | NEW | HIGH | artifacts=2
CASE_10753 | NEW | HIGH | artifacts=2
CASE_10707 | NEW | HIGH | artifacts=2
